Date,High,Low,Open,Close,Volume,Adj Close
2020/2/21,216.3999939,203.2599945,203.5,208.4900055,598086,208.4900055
2020/2/24,211.9799957,201,203.8000031,205.0299988,799945,205.0299988
2020/2/25,202,185,202,196.3800049,977113,196.3800049
2020/2/26,195.3200073,184.6100006,192,185.8000031,660936,185.8000031
2020/2/27,203.3899994,185.0500031,189.3300018,199.1900024,821717,199.1900024
2020/2/28,199,186.7700043,188.8999939,190.7100067,628914,190.7100067
2020/3/2,198.6000061,185.1999969,198.6000061,191.2100067,499427,191.2100067
2020/3/3,204.7899933,191.5500031,192.1000061,193.1300049,666960,193.1300049
2020/3/4,206.1000061,189.5099945,192,205.6300049,930376,205.6300049
2020/3/5,214,199,206,200.75,839667,200.75
2020/3/6,199.9900055,188.1999969,199.0099945,191.5800018,737490,191.5800018
2020/3/9,188.4100037,172.4199982,185,172.4199982,857621,172.4199982
2020/3/10,178.5500031,163.8099976,170,176.6000061,818330,176.6000061
2020/3/11,179.7200012,169.3500061,176,173.0299988,427671,173.0299988
2020/3/12,171.4799957,164.25,166.6199951,165.0500031,450691,165.0500031
2020/3/13,163.6000061,152,159.6600037,160.9100037,889676,160.9100037
2020/3/16,165.5200043,146,165.1699982,147,828855,147
2020/3/17,152.5,142.0200043,149.6399994,148,968768,148
2020/3/18,159.5500031,148.3000031,150.5099945,149.5,1014612,149.5
2020/3/19,152,143,150.8200073,148.5500031,990500,148.5500031
2020/3/20,156.6000061,148.4900055,151,153.5299988,1089075,153.5299988
2020/3/23,147.5800018,141.0200043,146.0299988,142.3099976,886916,142.3099976
2020/3/24,152.3000031,143.0099945,147,151.3800049,824400,151.3800049
2020/3/25,156.7899933,149.3600006,155,150.9799957,904900,150.9799957
2020/3/26,150.9900055,146.3000031,149.9900055,147.0399933,499700,147.0399933
2020/3/27,152.6000061,146.5,148.5700073,146.9799957,675200,146.9799957
2020/3/30,143.5,135,143.5,139.6999969,714117,139.6999969
2020/3/31,146.3500061,140,141.1100006,142.6600037,745117,142.6600037
2020/4/1,144.4199982,138.8000031,144.4199982,139.5599976,508854,139.5599976
2020/4/2,145.75,138.1300049,139.9799957,145,555538,145
2020/4/3,147.2599945,143.0399933,145.1900024,145.0099945,471532,145.0099945
2020/4/7,154.4400024,147.3000031,147.5299988,152.4799957,889864,152.4799957
2020/4/8,156.8000031,150,151.3800049,153.8800049,585200,153.8800049
2020/4/9,167,151.0599976,155,163.1900024,839208,163.1900024
2020/4/10,160,151.4499969,158.0800018,153.8999939,832773,153.8999939
2020/4/13,154.9700012,148.4900055,152,150.1999969,455991,150.1999969
2020/4/14,153.4900055,149.5,149.5,152.7400055,467854,152.7400055
2020/4/15,158.9900055,151.3999939,157,151.6000061,761028,151.6000061
2020/4/16,159.0800018,149.0200043,150.0299988,158.8500061,777508,158.8500061
2020/4/17,167.8000031,159.2700043,161.9900055,164.8000031,850390,164.8000031
2020/4/20,173.8999939,162.5500031,163.8999939,170.6399994,694849,170.6399994
2020/4/21,179.9799957,167.0200043,169.8800049,175.25,643257,175.25
2020/4/22,177.2899933,169.5,172.5800018,175.1999969,599154,175.1999969
2020/4/23,176,165.7899933,174.5,166.2899933,620620,166.2899933
2020/4/24,168.3899994,162.0800018,166.3399963,163.4299927,344439,163.4299927
2020/4/27,168.3399963,161.9900055,163.3500061,165.1799927,349570,165.1799927
2020/4/28,172.1699982,160.0099945,166.8000031,170.4499969,595068,170.4499969
2020/4/29,175.2799988,168,170.5599976,168.7400055,433073,168.7400055
2020/4/30,174.5,166.5800018,167,173,558873,173
