abbr,cir_cap,cir_val,code,main_scope,net_profit,tot_cap,tot_val
华扬联众,9478.51,246062.00,a603825,主营业务100.00%, 1277.12,23093.98,599519.73
南威软件,59079.36,719586.58,a603636,"政务行业53.23%,公安行业31.08%,民生行业15.13%,其他行业0.55%", -1636.27,59079.36,719586.58
DR国联股,3521.00,260976.52,a603613,"网上商品95.59%,商业信息3.07%,互联网技1.34%", 4072.56,14081.50,1043720.78
纵横通信,9291.84,208694.78,a603602,通信技术100.00%, -1235.30,15680.00,352172.80
中通国脉,14331.32,293792.07,a603559,通信技术100.00%, -1381.88,14331.32,293792.07
掌阅科技,16315.15,554388.92,a603533,"数字阅读87.02%,版权产品7.19%,硬件产品4.64%,其他1.15%", 5522.27,40100.00,1362598.00
吉比特,7186.46,3008609.47,a603444,游戏收入100.00%, 32219.59,7186.46,3008609.47
鼎信通讯,46431.25,686253.82,a603421,"电力电子87.77%,消防电子6.13%,劳务6.10%", -5392.83,46910.73,693340.54
顶点软件,5870.72,317371.02,a603383,应用软件100.00%, 140.56,12018.52,649721.41
超讯通信,15652.00,281892.52,a603322,"通信技术97.64%,设备及软2.36%", -460.40,15652.00,281892.52
电魂网络,24000.00,906480.00,a603258,网络游戏100.00%, 10153.11,24418.10,922271.64
中贝通信,18564.52,355696.20,a603220,通信技术100.00%, -2418.25,33776.00,647148.16
网达软件,22080.00,495696.00,a603189,"移动互联97.00%,商业智能0.15%,其他2.85%", 1618.27,22080.00,495696.00
海量数据,21046.28,433763.91,a603138,软件和信100.00%, 410.84,21060.98,434066.88
泛微网络,20680.22,1300165.49,a603039,"小计50.00%,软件收入30.77%,技术服务17.07%,第三方产0.96%,软件收入0.91%,软件收入0.30%", 1890.02,21229.64,1334707.55
人民网,110569.11,2487804.88,a603000,"互联网信72.14%,移动增值18.49%,其他9.37%", -2372.51,110569.11,2487804.88
吉视传媒,311109.04,681328.80,a601929,有线电视100.00%, 1069.75,311109.04,681328.80
中国卫通,40000.00,697200.00,a601698,"主营业务96.44%,其他业务3.56%", 8668.44,400000.00,6972000.00
大智慧,198770.00,1435119.40,a601519,"信息咨询98.50%,直播平台1.50%", -3875.25,198770.00,1435119.40
三六零,178923.18,3263558.76,a601360,"互联网广81.23%,互联网增8.98%,智能硬件7.73%,其他2.06%", 35985.80,676405.52,12337636.62
贵广网络,105169.98,795085.02,a600996,有线电视100.00%, -9710.79,105169.98,795085.02
科达股份,131144.34,544249.03,a600986,"互联网分95.73%,房地产开1.77%,路桥工程2.50%", 1677.20,132519.24,549954.83
江苏有线,445698.35,1582229.15,a600959,有线电视100.00%, 576.69,500071.77,1775254.78
广西广电,167102.62,660055.36,a600936,有线电视100.00%, 555.30,167102.62,660055.36
*ST大晟,54035.95,156704.27,a600892,"网络游戏89.42%,影视剧8.66%,基金管理1.92%", 2657.77,55946.42,162244.61
华东电脑,42685.22,1017615.71,a600850,"软件及信98.10%,减:内部1.90%", 6395.33,42685.22,1017615.71
宝信软件,83636.98,4654397.99,a600845,"软件开发66.80%,服务外包28.24%,系统集成4.95%", 27436.01,114037.03,6346160.45
广电网络,71039.19,520006.88,a600831,"有线电视76.85%,商品销售21.01%,广告代理2.14%", -2840.21,71039.19,520006.88
鹏博士,143235.79,1024135.87,a600804,"互联网业100.00%,其他0.00%", 8134.17,143239.43,1024161.92
浙大网新,102379.87,859990.87,a600797,"智慧商务40.44%,智慧城市33.73%,智慧云服17.79%,智慧生活8.04%", -2719.84,104663.56,879173.91
ST运盛,34091.02,123409.49,a600767,"医疗90.68%,房地产及9.32%", -161.95,34101.02,123445.69
浪潮软件,32409.88,607036.96,a600756,"电子政务58.97%,烟草18.90%,租赁0.86%,其他行业21.27%", -1001.31,32409.88,607036.96
佳都科技,171850.56,1594773.19,a600728,软件和信100.00%, -4392.53,175110.75,1625027.76
东软集团,124237.03,1352941.25,a600718,"智慧城市25.79%,医疗健康23.66%,智能汽车20.81%,企业互联29.74%", -6390.95,124237.03,1352941.25
*ST工新,77587.85,90777.79,a600701,"商业及信91.68%,制造工业8.32%", -13262.80,103473.52,121064.02
ST中安,75504.32,136662.81,a600654,"押运51.72%,安防24.09%,租赁0.95%,其他23.24%", -10970.08,128302.10,232226.80
ST游久,83270.35,161544.48,a600652,网络游戏100.00%, -1299.61,83270.35,161544.48
号百控股,79569.59,1368597.02,a600640,"互联网文41.54%,积分兑换37.38%,宾馆酒店11.38%,电子商务9.64%,其他业务0.06%", -5629.53,79569.59,1368597.02
东方明珠,341450.02,3219873.69,a600637,"视频购物51.41%,媒体网络22.90%,文旅消费16.18%,影视互娱9.51%", 28577.68,341450.02,3219873.69
*ST富控,57573.21,63330.53,a600634,"游戏业99.45%,服务业0.55%", -34028.52,57573.21,63330.53
云赛智联,103346.47,793700.87,a600602,"系统集成76.24%,制造业14.04%,商品贸易5.83%,公司内各3.31%,物业租赁0.57%", 2296.29,136767.35,1050373.21
用友网络,249318.70,9536440.14,a600588,软件行业100.00%, -23781.91,250328.11,9575050.32
信雅达,43111.11,369031.11,a600571,"IT 行91.08%,环保行业8.92%", -2873.55,43967.92,376365.41
恒生电子,80314.67,8593670.05,a600570,"资管业务32.63%,财富业务21.92%,经纪业务15.89%,互联网业15.59%,银行业务6.46%,其他项目7.51%", -4491.38,80314.67,8593670.05
天下秀,34875.37,631941.62,a600556,"智慧城市55.77%,物业管理44.23%", 5583.02,168042.03,3044921.61
中国软件,49456.28,4174109.88,a600536,"行业解决55.43%,服务化业32.76%,自主软件11.81%", -16146.54,49456.28,4174109.88
湘邮科技,16107.00,225014.79,a600476,"邮政行业98.96%,其他行业1.04%", -1421.11,16107.00,225014.79
金证股份,85321.05,1438512.88,a600446,计算机信100.00%, -8521.07,86044.05,1450702.66
华胜天成,109874.34,1692064.81,a600410,"政府37.07%,金融21.07%,电商及零21.07%,运营商20.79%", 25920.71,109874.34,1692064.81
国电南瑞,293489.89,5652615.27,a600406,电工电气100.00%, 214638.30,462194.08,8901858.02
*ST联合,50493.67,138352.64,a600358,"广告营销90.50%,销售及衍6.10%,旅游饮食3.40%", 379.70,50493.67,138352.64
*ST信通,56592.27,290318.34,a600289,"计算机与82.87%,智能交通17.03%,电子商务0.10%", -9072.35,63105.21,323729.71
中昌数据,41264.07,264090.05,a600242,"营销托管60.04%,O2O 13.08%,精准营销12.07%,效果营销11.53%,营销服务1.84%,其他项目1.44%", -2542.75,45666.51,292265.68
浙江富润,52194.61,457224.80,a600070,"信息服务48.81%,金属制造27.82%,纺织业23.29%,光伏电力0.08%", 48547.86,52194.61,457224.80
中国联通,2149991.08,11050954.15,a600050,电信业100.00%, 139572.45,3102550.77,15947110.95
歌华有线,139177.79,1441881.89,a600037,有线电视100.00%, 1925.55,139177.79,1441881.89
金现代,8602.50,155705.25,a300830,, 21.97,43012.50,778526.25
中科海讯,1970.00,97987.80,a300810,, 260.65,7870.00,391453.80
指南针,5690.00,295311.00,a300803,, 2816.12,40500.00,2101949.99
左江科技,1700.00,141151.00,a300799,, 473.27,6800.00,564604.00
壹网壹创,2000.00,705980.00,a300792,, 4732.71,8013.90,2828826.56
唐源电气,1150.00,65584.50,a300789,, 585.42,4598.28,262239.67
